"id","player","team","position","age","exp","pos","avg_type","points","pos_rank","drop_off","sd_pts","floor","ceiling","tier","points_vor","rank","floor_vor","floor_rank","ceiling_vor","ceiling_rank"
"11516","Jack Doyle","IND","TE",30,7,"TE","weighted",85.5894543620777,20,5.17200756429654,16.9486779568968,76.054,110.838807829181,6,-8.82943095944422,143,-5.47933333333333,121,0.175488908137737,104
"11529","Josh Hill","NOS","TE",30,7,"TE","weighted",23.3899600470035,60,0.199015802848368,10.0693203789896,6.796,32.6714534883721,9,-71.0289252745184,336,-74.7373333333333,343,-77.9918654326717,359
"11640","Teddy Bridgewater","CAR","QB",28,6,"QB","weighted",218.508922976847,28,26.7098765715719,35.362931887686,152.92,249.451692515528,7,-45.0172437831002,261,-90.8533333333334,450,-47.0935630180173,279
"11643","A.J. McCarron","HOU","QB",30,6,"QB","weighted",6.9867019047619,65,0.334759503352432,5.76485647680874,0.091,10.7395778364116,12,-256.539464855185,666,-243.682333333333,646,-285.805677697134,668
"11644","Derek Carr","LVR","QB",29,6,"QB","weighted",234.206118962123,25,5.91559665704222,21.6183669241187,214.86,261.420770909091,7,-29.3200477978239,213,-28.9133333333333,206,-35.1244846244543,242
"11647","Logan Thomas","WAS","TE",29,6,"TE","weighted",41.3386888552698,43,2.37867827947661,18.860828247574,14.8,64.9006831395349,9,-53.0801964662521,287,-66.7333333333333,304,-45.7626357815089,277
"11657","Carlos Hyde","SEA","RB",30,6,"RB","weighted",60.780137561184,67,1.92383430753778,22.4504396471632,31.536,90.8841073450888,9,-54.9092191823638,292,-68.4396666666667,310,-49.3841604102393,284
"11660","Devonta Freeman","FA*","RB",28,6,"RB","weighted",92.9849315068493,44,4.09320239801495,12.5157900270019,85.3,101.238045454545,8,-22.7044252366985,197,-14.6756666666667,150,-39.0302223007826,255
"11668","Isaiah Crowell","FA","RB",27,6,"RB","weighted",51.2,76,0.808562654646607,NA,51.2,51.2,11,-64.4893567435478,314,-48.7756666666667,256,-89.0682677553281,394
"11670","Sammy Watkins","KCC","WR",27,6,"WR","weighted",100.120435058671,58,6.0074074414927,13.0374341130009,87.7,117.4121886121,10,-26.4157144274882,209,-18.0333333333333,162,-24.5066007764477,204
"11671","Mike Evans","TBB","WR",27,6,"WR","weighted",167.936701955431,7,3.14580057552598,19.1545353195743,144.1,192.36487544484,4,41.4005524692717,40,38.3666666666667,43,50.4460860562925,37
"11674","Brandin Cooks","HOU","WR",27,6,"WR","weighted",127.286369128522,36,5.60946550826829,9.91395953111743,115.781,140.645681818182,8,0.750219642362623,103,10.0476666666667,79,-1.27310757036557,114
"11675","Davante Adams","GBP","WR",28,6,"WR","weighted",197.347168932949,2,8.38538342033772,5.08704337897689,192.696,204.989447674419,2,70.81101944679,21,86.9626666666667,15,63.0706582858712,29
"11677","Donte Moncrief","FA","WR",27,6,"WR","weighted",11.231,162,0.117271186440679,NA,11.231,11.231,15,-115.30514948616,557,-94.5023333333333,471,-130.687789388547,536
"11678","Allen Robinson","CHI","WR",27,6,"WR","weighted",151.605585223282,20,1.99267948521461,12.7396231299762,139.9,169.341619217082,5,25.0694357371223,59,34.1666666666667,49,27.4228298285344,59
"11679","Odell Beckham","CLE","WR",28,6,"WR","weighted",161.524417651987,10,1.4304563494683,15.5364894949178,149,184.164045454545,5,34.9882681658278,45,43.2666666666667,39,42.2452560659981,45
"11680","Jarvis Landry","CLE","WR",28,6,"WR","weighted",136.272943100235,30,4.05597782310971,5.80749229993779,127.125,140.9695,7,9.73679361407581,86,21.3916666666667,70,-0.949289388547385,110
"11681","Paul Richardson","FA","WR",28,6,"WR","weighted",15.209,149,0.718623916087298,Inf,15.209,15.209,14,-111.32714948616,527,-90.5243333333333,448,-126.709789388547,520
"11695","Eric Ebron","PIT","TE",27,6,"TE","weighted",83.1637004538578,21,7.12515279878973,25.7980228057136,50.3,117.200772727273,6,-11.2551848676641,151,-31.2333333333333,210,6.53745380622897,90
"11701","Xavier Grimble","FA","TE",28,6,"TE","weighted",3.28102619414484,121,0.717112480739599,5.66604663764781,2.22044604925031e-16,7.20547872670807,13,-91.1378591273771,445,-81.5333333333333,407,-103.457840194336,443
"11705","Trey Burton","IND","TE",29,6,"TE","weighted",34.9187872208131,48,0.27234938057709,16.0596391665752,20.22,56.606334519573,9,-59.5000981007088,300,-61.3133333333333,284,-54.0569844014708,294
"11747","James White","NEP","RB",28,6,"RB","weighted",111.139156464946,39,2.22511782544866,12.4032810610094,93.9358409669635,125.362064220183,7,-4.55020027860182,122,-6.03982569970317,124,-14.9062035351446,167
